Round,WinnerID,LoserID,Scores
Group 11 (A vs. B),fprtm|38864,fprtm|85525,"7,-8,4,7"
Group 2 (A vs. B),fprtm|73699,fprtm|11934,"3,-9,-7,10,6"
Group 1 (A vs. B),fprtm|57576,fprtm|59672,"8,-9,9,-9,7"
Group 8 (A vs. B),fprtm|90676,fprtm|32810,"11,-14,6,-7,7"
Group 7 (A vs. B),fprtm|84593,,"-0,-0,-0"
Group 6 (A vs. B),fprtm|90854,fprtm|86350,"-0,-0,-0"
Group 5 (A vs. B),fprtm|39007,fprtm|81020,"4,2,1"
Group 4 (A vs. B),fprtm|69929,fprtm|21847,"0,0,4"
Group 3 (A vs. B),fprtm|63264,fprtm|43130,"2,10,8"
Group 2 (A vs. B),fprtm|97153,fprtm|36306,"12,-7,-11,9,8"
Group 10 (A vs. C),fprtm|40161,fprtm|34914,"6,10,5"
Group 9 (A vs. C),fprtm|42493,fprtm|76768,"3,5,7"
Group 8 (A vs. C),fprtm|19099,fprtm|25860,"7,-9,10,4"
Group 7 (A vs. C),fprtm|95180,fprtm|57795,"1,5,2"
Group 6 (A vs. C),fprtm|50857,fprtm|27154,"9,6,-9,8"
Group 5 (A vs. C),fprtm|65461,fprtm|41285,"-10,4,7,9"
Group 4 (A vs. C),fprtm|72296,fprtm|86503,"7,8,10"
Group 3 (A vs. C),fprtm|96474,fprtm|38534,"2,6,4"
Group 14 (A vs. C),fprtm|18834,,"2,4,3"
Group 13 (A vs. C),fprtm|40007,fprtm|97062,"3,2,9"
Group 12 (A vs. C),fprtm|87128,fprtm|15817,"4,2,3"
Group 11 (A vs. C),fprtm|38864,fprtm|43386,"-7,6,-9,9,9"
Group 2 (A vs. C),fprtm|73699,fprtm|48890,"8,11,3"
Group 1 (A vs. C),fprtm|57576,fprtm|85914,"3,5,1"
Group 8 (A vs. C),fprtm|42772,fprtm|32810,"3,4,-10,6"
Group 7 (A vs. C),fprtm|79983,,"-0,-0,-0"
Group 6 (A vs. C),fprtm|33583,fprtm|86350,"0,0,0,-0,-0,-0"
Group 5 (A vs. C),fprtm|39007,fprtm|92264,"6,1,6"
Group 4 (A vs. C),fprtm|69929,fprtm|60523,"4,-8,1,8"
Group 3 (A vs. C),fprtm|63279,fprtm|63264,"5,6,1"
Group 2 (A vs. C),fprtm|27578,fprtm|97153,"9,6,5"
Group 1 (A vs. B),fprtm|74515,fprtm|49240,"5,8,4"
Final,fprtm|63279,fprtm|69929,"7,7,-9,7"
Semifinal #2,fprtm|63279,fprtm|27578,"-8,9,-9,8,4"
Semifinal #1,fprtm|69929,fprtm|74515,"5,13,12"
Quarterfinal #4,fprtm|27578,fprtm|42772,"7,5,-6,4"
Quarterfinal #3,fprtm|63279,fprtm|92264,"5,6,7"
Quarterfinal #2,fprtm|69929,fprtm|39007,"-5,-9,9,9,6"
Quarterfinal #1,fprtm|74515,fprtm|79983,"5,3,6"
Round of 16 #8,fprtm|27578,fprtm|49240,"7,7,8"
Round of 16 #7,fprtm|42772,fprtm|84593,"4,7,8"
Round of 16 #6,fprtm|92264,fprtm|33583,"-7,8,3,-6,8"
Round of 16 #5,fprtm|63279,fprtm|60523,"4,5,6"
Round of 16 #4,fprtm|69929,fprtm|63264,"3,8,6"
Round of 16 #3,fprtm|39007,fprtm|90854,"2,2,8"
Round of 16 #2,fprtm|79983,fprtm|90676,
Round of 16 #1,fprtm|74515,fprtm|36306,"7,3,9"
Round of 32 #10,fprtm|60523,fprtm|21847,"6,8,3"
Round of 32 #7,fprtm|63264,fprtm|81020,"9,9,10"
Round of 32 #6,fprtm|90854,fprtm|86350,"-0,-0,-0"
Round of 32 #15,fprtm|49240,fprtm|43130,
Round of 32 #14,fprtm|42772,fprtm|32810,"6,8,2"
Round of 32 #11,fprtm|92264,,"0,0,0"
Round of 32 #2,fprtm|36306,fprtm|97153,"8,-9,4,-9,9"
Final,fprtm|80678,fprtm|97900,"6,-5,7,9"
Semifinal #2,fprtm|80678,fprtm|69929,"-6,9,3,3"
Semifinal #1,fprtm|97900,fprtm|82512,"-3,4,-7,11,8"
Quarterfinal #4,fprtm|80678,fprtm|78146,"7,2,4"
Quarterfinal #3,fprtm|69929,fprtm|32810,"-5,10,8,7"
Quarterfinal #2,fprtm|97900,fprtm|38016,"7,-9,8,11"
Quarterfinal #1,fprtm|82512,fprtm|84593,"2,2,7"
Round of 16 #2,fprtm|84593,fprtm|63264,"7,7,0"
Group 3 (B vs. C),fprtm|69929,fprtm|63264,"7,4,1"
Group 2 (B vs. C),fprtm|97900,fprtm|84593,"6,3,9"
Group 1 (B vs. C),fprtm|32810,fprtm|78146,"8,6,9"
Group 4 (C vs. D),fprtm|27578,fprtm|42772,"8,7,11"
Group 4 (A vs. B),fprtm|57576,fprtm|50857,"8,-11,9,3"
Group 3 (B vs. C),fprtm|95180,fprtm|90676,"4,4,4"
Group 2 (B vs. C),fprtm|48752,fprtm|15075,"6,7,9"
Group 1 (B vs. C),fprtm|63354,fprtm|13617,"4,4,8"
Group 2 (B vs. C),fprtm|51347,"stadium-tt|4238,fprtm|85674","-8,-9,8,9,8"
Group 1 (B vs. C),fprtm|32431,fprtm|19358,"7,4,7"
Group 3 (A vs. B),fprtm|69929,fprtm|38016,"10,7,-6,8"
Group 2 (A vs. B),fprtm|80678,fprtm|97900,"7,12,-8,5"
Group 1 (A vs. B),fprtm|82512,fprtm|78146,"6,2,3"
Group 4 (B vs. C),fprtm|50857,fprtm|42772,"1,2,2"
Group 4 (A vs. D),fprtm|57576,fprtm|27578,"7,4,4"
Group 3 (A vs. B),fprtm|79514,fprtm|95180,"-8,7,5,6"
Group 2 (A vs. B),fprtm|60432,fprtm|15075,"2,6,7"
Group 1 (A vs. B),fprtm|92240,fprtm|13617,"3,3,3"
Group 2 (A vs. B),fprtm|30379,"stadium-tt|4238,fprtm|85674","10,9,1"
Group 1 (A vs. B),fprtm|24592,fprtm|19358,"4,3,5"
Group 2 (A vs. C),fprtm|80678,fprtm|84593,"9,5,2"
Group 1 (A vs. C),fprtm|82512,fprtm|32810,"5,5,9"
Group 4 (B vs. D),fprtm|50857,fprtm|27578,"4,3,7"
Final,fprtm|70637,fprtm|49363,"8,5,4"
Semifinal #2,fprtm|49363,fprtm|69638,"9,7,-7,7"
Semifinal #1,fprtm|70637,fprtm|97410,"9,7,4"
Quarterfinal #3,fprtm|49363,fprtm|11025,"-9,9,8,6"
Quarterfinal #2,fprtm|97410,fprtm|50001,"6,6,7"
Final,fprtm|92240,fprtm|79514,"9,2,7"
Semifinal #2,fprtm|79514,fprtm|60432,"7,9,-2,-3,9"
Semifinal #1,fprtm|92240,fprtm|57576,"7,8,-8,5"
Quarterfinal #4,fprtm|60432,fprtm|63354,"8,-10,8,11"
Quarterfinal #3,fprtm|79514,fprtm|50857,"8,6,2"
Quarterfinal #2,fprtm|57576,fprtm|95180,"5,6,-8,-8,7"
Quarterfinal #1,fprtm|92240,fprtm|48752,"1,3,10"
Round of 16 #7,fprtm|63354,fprtm|15075,"3,2,4"
Round of 16 #6,fprtm|50857,fprtm|90676,"2,7,3"
Round of 16 #5,fprtm|79514,fprtm|42772,"4,3,5"
Round of 16 #3,fprtm|95180,fprtm|27578,"6,3,6"
Round of 16 #2,fprtm|48752,fprtm|13617,"8,-6,9,-6,4"
Final,fprtm|24592,"stadium-tt|4238,fprtm|85674","25,15,18"
Semifinal #2,"stadium-tt|4238,fprtm|85674",fprtm|30379,"8,-9,7,13"
Semifinal #1,fprtm|24592,fprtm|19358,"1,2,10"
Quarterfinal #3,"stadium-tt|4238,fprtm|85674",fprtm|32431,"6,9,-8,2"
Quarterfinal #2,fprtm|19358,fprtm|51347,"6,-9,10,-10,2"
Group 3 (A vs. C),fprtm|38016,fprtm|63264,"8,8,7"
Group 4 (A vs. C),fprtm|57576,fprtm|42772,"6,6,1"
Group 3 (A vs. C),fprtm|79514,fprtm|90676,"2,4,3"
Group 2 (A vs. C),fprtm|60432,fprtm|48752,"-8,3,8,8"
Group 1 (A vs. C),fprtm|92240,fprtm|63354,"4,4,5"
Group 2 (A vs. C),fprtm|30379,fprtm|51347,"10,7,-6,6"
Group 1 (A vs. C),fprtm|24592,fprtm|32431,"3,15,4"
Final,fprtm|57400,fprtm|99166,"5,5,-12,14"
Semifinal #2,fprtm|99166,fprtm|88504,"10,7,6"
Semifinal #1,fprtm|57400,fprtm|83000,"9,9,8"
Quarterfinal #3,fprtm|88504,fprtm|86099,"6,9,7"
Quarterfinal #2,fprtm|83000,fprtm|63883,"7,2,7"
Final,fprtm|28301,fprtm|59009,"7,3,7"
Semifinal #2,fprtm|59009,fprtm|72296,"9,11,7"
Semifinal #1,fprtm|28301,fprtm|34957,"7,-9,5,7"
Quarterfinal #3,fprtm|59009,fprtm|65461,"5,5,9"
Quarterfinal #2,fprtm|34957,,
Final,fprtm|56025,"fprtm|26683,stadium-tt|38117","5,8,2"
Semifinal #2,"fprtm|26683,stadium-tt|38117",fprtm|21420,"3,4,5"
Semifinal #1,fprtm|56025,fprtm|98777,"9,3,5"
Quarterfinal #3,fprtm|21420,fprtm|36387,"0,2,1"
Final,fprtm|10074,fprtm|19305,"5,-15,8,5"
Semifinal #2,fprtm|19305,fprtm|25860,"-9,8,9,6"
Semifinal #1,fprtm|10074,fprtm|77391,"4,4,9"
Quarterfinal #4,fprtm|19305,fprtm|44795,"5,5,8"
Quarterfinal #3,fprtm|25860,fprtm|53404,"5,7,5"
Quarterfinal #2,fprtm|77391,fprtm|94080,"9,-10,5,7"
Quarterfinal #1,fprtm|10074,fprtm|92264,"7,4,0"
Round of 16 #2,fprtm|92264,fprtm|65108,"8,7,-13,4"
Final,fprtm|14207,fprtm|84341,"-5,9,4,5"
Semifinal #2,fprtm|84341,fprtm|19358,"-7,10,-3,9,7"
Semifinal #1,fprtm|14207,fprtm|45382,"5,7,1"
Quarterfinal #4,fprtm|19358,fprtm|49117,"9,9,7"
Quarterfinal #3,fprtm|84341,fprtm|87128,"4,4,3"
Quarterfinal #2,fprtm|14207,fprtm|74686,"8,-10,5,9"
Quarterfinal #1,fprtm|45382,fprtm|71953,"9,9,3"
Round of 16 #7,fprtm|49117,fprtm|40007,"11,-8,12,3"
Round of 16 #6,fprtm|87128,fprtm|16175,"11,6,-7,-5,3"
Round of 16 #5,fprtm|84341,fprtm|86503,"6,7,2"
Round of 16 #4,fprtm|14207,fprtm|49321,"6,6,2"
Round of 16 #3,fprtm|74686,fprtm|98259,"6,6,7"
Round of 16 #2,fprtm|71953,fprtm|93748,"7,-9,3,-2,10"
Final,fprtm|84847,fprtm|38016,"11,-9,8,-10,6"
Semifinal #2,fprtm|38016,fprtm|22224,"3,6,4"
Semifinal #1,fprtm|84847,fprtm|80468,"9,10,5"
Quarterfinal #3,fprtm|22224,fprtm|85914,"5,2,7"
Quarterfinal #2,fprtm|80468,,
Group 3 (B vs. C),fprtm|77391,fprtm|92264,"5,4,8"
Group 2 (B vs. C),fprtm|94080,fprtm|65108,"6,2,9"
Group 1 (B vs. C),fprtm|53404,fprtm|44795,"12,-6,12,-9,7"
Group 2 (B vs. C),fprtm|72296,fprtm|34957,"6,9,7"
Group 5 (B vs. C),fprtm|16175,fprtm|49321,"2,1,3"
Group 4 (B vs. C),fprtm|49117,fprtm|86503,"-10,-9,5,3,6"
Group 3 (B vs. C),fprtm|93748,fprtm|98259,"7,7,7"
Group 2 (B vs. C),fprtm|71953,fprtm|87128,"4,3,-8,-6,10"
Group 3 (A vs. B),fprtm|25860,fprtm|77391,"9,-11,-1,3,9"
Group 2 (A vs. B),fprtm|19305,fprtm|94080,"6,7,-10,14"
Group 1 (A vs. B),fprtm|10074,fprtm|53404,"4,6,4"
Group 2 (A vs. B),fprtm|72296,fprtm|59009,"7,9,-1,-6,9"
Group 5 (A vs. B),fprtm|74686,fprtm|16175,"-15,7,11,7"
Group 4 (A vs. B),fprtm|14207,fprtm|49117,"3,8,-10,5"
Group 3 (A vs. B),fprtm|84341,fprtm|93748,"5,5,9"
Group 2 (A vs. B),fprtm|19358,fprtm|87128,"-9,1,6,5"
Group 3 (A vs. C),fprtm|25860,fprtm|92264,"0,4,5"
Group 2 (A vs. C),fprtm|19305,fprtm|65108,"2,3,3"
Group 1 (A vs. C),fprtm|10074,fprtm|44795,"9,5,6"
Group 2 (A vs. C),fprtm|34957,fprtm|59009,"7,8,8"
Group 1 (A vs. B),fprtm|28301,fprtm|65461,"7,6,-7,0"
Group 5 (A vs. C),fprtm|74686,fprtm|49321,"9,5,7"
Group 4 (A vs. C),fprtm|14207,fprtm|86503,"8,6,3"
Group 3 (A vs. C),fprtm|84341,fprtm|98259,"6,5,7"
Group 2 (A vs. C),fprtm|19358,fprtm|71953,"7,6,1"
Group 1 (A vs. B),fprtm|45382,fprtm|40007,"8,7,7"
Group 2 (B vs. C),fprtm|99166,fprtm|86099,"3,4,5"
Group 1 (B vs. C),fprtm|88504,fprtm|63883,"2,4,3"
Group 2 (B vs. C),fprtm|98777,fprtm|36387,"3,0,5"
Group 2 (B vs. C),fprtm|69638,fprtm|97410,"5,9,6"
Group 1 (B vs. C),fprtm|49363,fprtm|50001,"8,4,5"
Group 2 (B vs. C),fprtm|38016,fprtm|80468,"-7,3,8,13"
Group 2 (A vs. B),fprtm|99166,fprtm|83000,"-7,10,-6,10,9"
Group 1 (A vs. B),fprtm|57400,fprtm|88504,"-9,8,8,-10,5"
Group 2 (A vs. B),"fprtm|26683,stadium-tt|38117",fprtm|98777,"5,10,7"
Group 2 (A vs. B),fprtm|69638,fprtm|11025,"-9,8,5,-6,9"
Group 1 (A vs. B),fprtm|70637,fprtm|50001,"7,4,2"
Group 2 (A vs. B),fprtm|38016,fprtm|22224,"6,7,2"
Group 2 (A vs. C),fprtm|83000,fprtm|86099,"-7,-7,10,8,1"
Group 1 (A vs. C),fprtm|57400,fprtm|63883,"5,8,1"
Group 2 (A vs. C),"fprtm|26683,stadium-tt|38117",fprtm|36387,"2,3,2"
Group 1 (A vs. B),fprtm|56025,fprtm|21420,"5,2,2"
Group 2 (A vs. C),fprtm|97410,fprtm|11025,"-10,-6,11,8,3"
Group 1 (A vs. C),fprtm|70637,fprtm|49363,"-9,8,-7,3,7"
Group 2 (A vs. C),fprtm|80468,fprtm|22224,"10,5,2"
Group 1 (A vs. B),fprtm|84847,fprtm|85914,"3,3,5"
Final,fprtm|65461,fprtm|95180,"2-1"
Semifinal,fprtm|65461,fprtm|35112,"2-0"
Semifinal,fprtm|95180,fprtm|50857,"2-1"
Quarterfinal,fprtm|65461,fprtm|96374,"2-0"
Quarterfinal,fprtm|35112,fprtm|40982,"2-1"
Quarterfinal,fprtm|95180,fprtm|73699,"2-1"
Quarterfinal,fprtm|50857,fprtm|19287,"2-0"
Round of 16,fprtm|65461,fprtm|57576,"2-0"
Round of 16,fprtm|35112,fprtm|40007,"2-0"
Round of 16,fprtm|95180,fprtm|71953,"2-0"
Round of 16,fprtm|50857,fprtm|59672,"2-1"
Round of 16,fprtm|96374,fprtm|41850,"2-0"
Round of 16,fprtm|40982,fprtm|34957,"2-0"
Round of 16,fprtm|73699,fprtm|41195,"2-0"
Round of 16,fprtm|19287,fprtm|42493,"2-0"